root@nmszhwit2h:/notebooks# echo "[Terminal 1]"
[Terminal 1]
root@nmszhwit2h:/notebooks# nvidia-smi dmon
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    250     78      -    61     55      0      0   7600   1860 
    0    250     80      -    98     48      0      0   7600   1605 
    0    270     81      -   100     53      0      0   7600   1635 
    0    257     78      -    75     64      0      0   7600   1860 
    0    244     81      -    70     34      0      0   7600   1560 
    0    274     81      -    99     51      0      0   7600   1620 
    0    262     79      -    96     76      0      0   7600   1860 
    0    238     81      -    40     16      0      0   7600   1575 
    0    266     81      -   100     50      0      0   7600   1680 
    0    266     81      -   100     54      0      0   7600   1845 
    0    243     80      -    32     31      0      0   7600   1680 
    0    258     81      -    94     49      0      0   7600   1740 
    0    264     81      -   100     47      0      0   7600   1710 
    0    248     78      -    91     72      0      0   7600   1860 
    0    242     81      -    43     17      0      0   7600   1620 
    0    275     81      -    99     46      0      0   7600   1650 
    0    255     78      -   100     58      0      0   7600   1860 
    0    239     81      -    22     23      0      0   7600   1575 
    0    277     81      -   100     49      0      0   7600   1650 
    0    249     78      -   100     52      0      0   7600   1860 
    0    250     81      -   100     50      0      0   7600   1620 
    0    271     81      -   100     53      0      0   7600   1635 
    0    254     78      -    74     63      0      0   7600   1860 
    0    252     81      -    95     50      0      0   7600   1635 
    0    276     81      -   100     50      0      0   7600   1680 
    0    255     79      -    52     50      0      0   7600   1860 
    0    252     81      -    99     52      0      0   7600   1695 
    0    274     81      -   100     49      0      0   7600   1710 
    0    249     81      -    38     34      0      0   7600   1695 
    0    270     82      -    99     51      0      0   7600   1590 
    0    270     81      -   100     52      0      0   7600   1815 
    0    231     79      -    43     45      0      0   7600   1575 
    0    256     81      -    84     41      0      0   7600   1695 
    0    264     81      -   100     46      0      0   7600   1680 
    0    251     78      -   100     73      0      0   7600   1590 
    0    248     81      -    50     22      0      0   7600   1725 
    0    273     82      -   100     49      0      0   7600   1635 
    0    239     78      -   100     41      0      0   7600   1860 
    0    243     81      -    96     48      0      0   7600   1590 
    0    269     82      -    99     50      0      0   7600   1605 
    0    264     78      -    78     68      0      0   7600   1860 
    0    240     81      -    63     30      0      0   7600   1575 
    0    269     82      -   100     48      0      0   7600   1605 
    0    268     79      -   100     75      0      0   7600   1860 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    249     81      -    63     31      0      0   7600   1620 
    0    270     82      -   100     45      0      0   7600   1620 
    0    255     79      -   100     62      0      0   7600   1860 
    0    250     81      -    43     17      0      0   7600   1590 
    0    265     82      -   100     50      0      0   7600   1605 
    0    268     79      -   100     51      0      0   7600   1860 
    0    252     82      -    44     29      0      0   7600   1590 
    0    270     82      -   100     49      0      0   7600   1605 
    0    271     79      -   100     57      0      0   7600   1860 
    0    241     82      -    32     36      0      0   7600   1560 
    0    273     82      -   100     46      0      0   7600   1635 
    0    266     80      -   100     55      0      0   7600   1860 
    0    226     79      -    23      7      0      0   7600   1695 
    0    266     82      -    99     51      0      0   7600   1665 
    0    261     82      -   100     51      0      0   7600   1650 
    0    248     78      -    49     48      0      0   7600   1860 
    0    244     81      -    88     47      0      0   7600   1680 
    0    248     81      -    39     16      0      0   7600   1560 
    0    267     82      -   100     50      0      0   7600   1590 
    0    264     81      -   100     53      0      0   7600   1800 
    0    245     81      -    34     31      0      0   7600   1575 
    0    274     82      -   100     49      0      0   7600   1680 
    0    270     79      -   100     52      0      0   7600   1860 
    0    238     81      -    46     46      0      0   7600   1665 
    0    255     82      -    78     37      0      0   7600   1680 
    0    266     82      -    99     46      0      0   7600   1725 
    0    251     80      -    94     73      0      0   7600   1725 
    0    255     82      -    82     40      0      0   7600   1605 
    0    275     81      -   100     51      0      0   7600   1830 
    0    239     80      -    92     17      0      0   7600   1665 
    0    264     82      -   100     47      0      0   7600   1605 
    0    254     81      -   100     52      0      0   7600   1680 
    0    253     78      -    52     50      0      0   7600   1860 
    0    243     81      -    80     39      0      0   7600   1620 
    0    275     82      -   100     50      0      0   7600   1635 
    0    259     79      -    69     61      0      0   7600   1860 
    0    257     81      -   100     50      0      0   7600   1740 
    0    271     81      -   100     55      0      0   7600   1710 
    0    237     78      -   100     74      0      0   7600   1860 
    0    244     81      -    46     19      0      0   7600   1575 
    0    271     82      -   100     46      0      0   7600   1620 
    0    259     79      -   100     56      0      0   7600   1860 
    0    242     81      -    38     38      0      0   7600   1575 
    0    261     82      -    92     41      0      0   7600   1605 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    267     81      -   100     50      0      0   7600   1755 
    0    243     81      -    82     69      0      0   7600   1695 
    0    252     82      -    68     33      0      0   7600   1650 
    0    272     81      -   100     67      0      0   7600   1800 
    0    238     81      -    32     15      0      0   7600   1695 
    0    263     82      -   100     48      0      0   7600   1620 
    0    270     82      -   100     58      0      0   7600   1785 
    0    241     80      -    18     14      0      0   7600   1800 
    0    250     81      -    99     53      0      0   7600   1710 
    0    271     81      -   100     54      0      0   7600   1710 
    0    252     78      -    79     68      0      0   7600   1860 
    0    256     81      -    84     41      0      0   7600   1665 
    0    270     82      -   100     48      0      0   7600   1650 
    0    247     78      -   100     78      0      0   7600   1860 
    0    245     81      -    48     22      0      0   7600   1650 
    0    265     82      -   100     49      0      0   7600   1620 
    0    264     79      -    99     59      0      0   7600   1860 
    0    240     82      -    27     16      0      0   7600   1575 
    0    265     82      -   100     49      0      0   7600   1590 
    0    270     80      -   100     50      0      0   7600   1860 
    0    248     82      -    45     40      0      0   7600   1545 
    0    265     82      -   100     45      0      0   7600   1695 
    0    267     81      -   100     74      0      0   7600   1845 
    0    240     81      -    43     18      0      0   7600   1590 
    0    266     82      -   100     48      0      0   7600   1590 
    0    269     81      -   100     57      0      0   7600   1800 
    0    238     81      -    29     32      0      0   7600   1605 
    0    248     82      -   100     51      0      0   7600   1725 
    0    273     82      -   100     50      0      0   7600   1650 
    0    251     80      -    57     55      0      0   7600   1530 
    0    255     81      -    78     38      0      0   7600   1725 
    0    267     82      -   100     49      0      0   7600   1635 
    0    247     78      -    99     78      0      0   7600   1860 
    0    241     81      -    32     11      0      0   7600   1590 
    0    272     82      -    99     49      0      0   7600   1650 
    0    261     78      -    99     59      0      0   7600   1860 
    0    249     81      -    45     23      0      0   7600   1635 
    0    269     82      -    99     50      0      0   7600   1665 
    0    265     78      -   100     57      0      0   7600   1860 
    0    245     82      -    19     12      0      0   7600   1590 
    0    270     82      -   100     47      0      0   7600   1605 
    0    256     78      -    50     49      0      0   7600   1860 
    0    247     82      -    95     49      0      0   7600   1590 
    0    272     82      -   100     54      0      0   7600   1650 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    258     79      -    73     64      0      0   7600   1860 
    0    246     81      -    85     42      0      0   7600   1635 
    0    269     82      -   100     50      0      0   7600   1605 
    0    264     79      -    97     75      0      0   7600   1860 
    0    237     82      -    42     17      0      0   7600   1560 
    0    248     80      -     0      0      0      0   7600   1650 
    0    267     82      -    99     51      0      0   7600   1665 
    0    260     82      -    99     47      0      0   7600   1710 
    0    252     80      -    88     70      0      0   7600   1650 
    0    258     82      -    85     43      0      0   7600   1620 
    0    273     81      -   100     54      0      0   7600   1740 
    0    248     82      -    75     63      0      0   7600   1575 
    0    258     82      -    83     41      0      0   7600   1605 
